url,address,total_price,asking_price,m2,rooms,bedrooms,apartment_type,TBA,BRA_i,BRA_e,byggeår,fellesgjeld
https://www.finn.no/realestate/homes/ad.html?finnkode=474850218,"Høybråtenveien 21A, Oslo",3641875,3350000,60,3,2,Leilighet,65,60,5,1977,282379
https://www.finn.no/realestate/homes/ad.html?finnkode=474866240,"Høybråtenveien 25J, Oslo",4806074,4400000,105,4,3,Leilighet,112,105,7,1977,396578
https://www.finn.no/realestate/homes/ad.html?finnkode=474934981,"Skansen terrasse 13, Oslo",3825737,3490000,50,2,1,Leilighet,57,50,7,1981,317041
https://www.finn.no/realestate/homes/ad.html?finnkode=475096712,"Ellingsrudveien 8 A, Oslo",9728600,9490000,188,7,5,Enebolig,225,188,37,1995,
https://www.finn.no/realestate/homes/ad.html?finnkode=475214890,"Dragonstien 97C, Oslo",3655509,3300000,50,2,1,Leilighet,58,50,8,1980,346013
https://www.finn.no/realestate/project/ad.html?finnkode=405309422,"Jerikoveien 93A, Oslo",5543940,4990000,107,,4,Leilighet,,,,,
https://www.finn.no/realestate/project/ad.html?finnkode=412452298,"Jerikoveien 93A, Oslo",5543940,4990000,107,,4,Leilighet,,,,,
https://www.finn.no/realestate/project/ad.html?finnkode=459287585,"Risløkkfaret 9 A, Oslo",17063200,16900000,196,,4,Enebolig,196,196,,,
https://www.finn.no/realestate/project/ad.html?finnkode=465288616,"Jerikoveien 93A, Oslo",5543940,4990000,107,,4,Leilighet,,,5,,
https://www.finn.no/realestate/projectsingle/ad.html?finnkode=474023961,"Granstangen 23, Oslo",5985720,5950000,80,4,3,Leilighet,85,80,5,,
https://www.finn.no/realestate/projectsingle/ad.html?finnkode=474500241,"Granstangen 23, Oslo",5887900,5850000,59,3,2,Leilighet,64,59,5,,0
https://www.finn.no/realestate/homes/ad.html?finnkode=451663472,"Ole Reistads vei 9A, Oslo",4967291,4700000,96,4,3,Leilighet,99,96,3,1980,257795
https://www.finn.no/realestate/homes/ad.html?finnkode=456085877,"Solbakken allé 15, Oslo",7184340,6990000,101,3,2,Enebolig,145,101,44,1932,
https://www.finn.no/realestate/homes/ad.html?finnkode=458140012,"Bredes vei 6C, Oslo",7165840,6990000,127,4,3,Enebolig,127,127,,1988,
https://www.finn.no/realestate/homes/ad.html?finnkode=462008431,"Erling Michelsens vei 19B, Oslo",6311832,5590000,111,4,3,Rekkehus,128,111,17,1981,703136
https://www.finn.no/realestate/homes/ad.html?finnkode=462321993,"Myrbakkveien 1H, Oslo",8662340,8450000,133,6,4,Tomannsbolig,136,133,3,2019,
https://www.finn.no/realestate/homes/ad.html?finnkode=462759518,"Kløfterhagen 7H, Oslo",7165840,6990000,160,,3,Enebolig,180,160,20,1980,
https://www.finn.no/realestate/homes/ad.html?finnkode=463510594,"Maria Dehlis vei 49 B, Oslo",4276199,3650000,81,3,2,Leilighet,109,81,7,1976,616443
https://www.finn.no/realestate/homes/ad.html?finnkode=465267815,"Munkebekken 438 B, Oslo",5498838,5200000,105,4,3,Rekkehus,110,105,5,1993,153977
https://www.finn.no/realestate/homes/ad.html?finnkode=465272705,"Høybråtenveien 31A, Oslo",5436198,5000000,117,5,4,Leilighet,126,117,9,1976,426702
https://www.finn.no/realestate/homes/ad.html?finnkode=465592978,"Kleiva 1B, Oslo",9963490,9700000,148,4,3,Enebolig,153,148,5,1966,
https://www.finn.no/realestate/homes/ad.html?finnkode=466449596,"Jerikoveien 1, Oslo",3616096,3250000,46,,1,Leilighet,51,46,5,1977,347400
https://www.finn.no/realestate/homes/ad.html?finnkode=466612857,"Kurlandstien 46, Oslo",3638841,3500000,60,2,1,Leilighet,69,60,5,1978,129345
https://www.finn.no/realestate/homes/ad.html?finnkode=466863153,"Maria Dehlis vei 36B, Oslo",4866590,4300000,112,6,4,Leilighet,116,112,4,1978,458000
https://www.finn.no/realestate/homes/ad.html?finnkode=467182201,"Ole Reistads vei 1B, Oslo",4242758,3990000,113,2,1,Leilighet,117,113,4,1978,243156
https://www.finn.no/realestate/homes/ad.html?finnkode=467399393,"Kringveien 3, Oslo",7688590,7500000,139,3,2,Tomannsbolig,139,139,,1962,
https://www.finn.no/realestate/homes/ad.html?finnkode=467478114,"Lindebergåsen 36A, Oslo",4883620,4500000,84,3,2,Leilighet,86,84,2,1976,374275
https://www.finn.no/realestate/homes/ad.html?finnkode=468704438,"Lindebergåsen 50B, Oslo",5458544,4900000,99,5,4,Leilighet,114,99,3,1977,549199
https://www.finn.no/realestate/homes/ad.html?finnkode=469103164,"Stjerneblokkveien 9, Oslo",3867188,3650000,57,2,1,Leilighet,62,57,5,1952,207692
https://www.finn.no/realestate/homes/ad.html?finnkode=469917062,"Maria Dehlis vei 55 a, Oslo",4125065,3500000,84,3,2,Leilighet,103,84,5,1976,615309
https://www.finn.no/realestate/homes/ad.html?finnkode=470018657,"Lindeberglia 23, Oslo",4027542,3400000,67,3,2,Leilighet,75,67,8,1963,516652
https://www.finn.no/realestate/homes/ad.html?finnkode=470645493,"Idrettsveien 21, Oslo",9994840,9750000,240,17,3,Tomannsbolig,266,240,26,1929,
https://www.finn.no/realestate/homes/ad.html?finnkode=471128143,"Maria Dehlis vei 15, Oslo",4525533,3990000,101,4,3,Leilighet,105,101,4,1975,526037
https://www.finn.no/realestate/homes/ad.html?finnkode=471498504,"Lindebergveien 45A, Oslo",,5800000,115,6,4,Leilighet,119,115,4,1976,285421
https://www.finn.no/realestate/homes/ad.html?finnkode=471504034,"Jerikoveien 99 B, Oslo",4094887,3700000,60,3,2,Leilighet,67,60,3,1980,385391
https://www.finn.no/realestate/homes/ad.html?finnkode=472111334,"Edvard Munchs vei 89, Oslo",6193416,5490000,98,4,3,Leilighet,102,98,4,1981,565076
https://www.finn.no/realestate/homes/ad.html?finnkode=472400448,"Stjerneblokkveien 15, Oslo",3998082,3750000,65,3,2,Leilighet,77,65,12,1952,238586
https://www.finn.no/realestate/homes/ad.html?finnkode=472772069,"Maria Dehlis vei 29A, Oslo",4290921,3790000,93,4,3,Leilighet,98,93,5,1975,491425
https://www.finn.no/realestate/homes/ad.html?finnkode=472818193,"Pionerstien 8, Oslo",5469239,4900000,84,3,2,Leilighet,84,84,,1980,559743
https://www.finn.no/realestate/homes/ad.html?finnkode=472825073,"Bergtunveien 8 C, Oslo",6920100,6750000,165,5,3,Tomannsbolig,186,165,21,1960,
https://www.finn.no/realestate/homes/ad.html?finnkode=472899590,"Harald Sohlbergs vei 1, Oslo",4687612,4500000,70,4,3,Leilighet,75,70,5,2014,72222
https://www.finn.no/realestate/homes/ad.html?finnkode=472942056,"Vestre Haugen 78, Oslo",4705476,4000000,104,4,3,Leilighet,121,104,7,1976,704386
https://www.finn.no/realestate/homes/ad.html?finnkode=472978172,"Dragonstien 103C, Oslo",3884522,3490000,50,2,1,Leilighet,58,50,8,1980,385026
https://www.finn.no/realestate/homes/ad.html?finnkode=473033146,"Nuggerudveien 12, Oslo",13223590,12900000,275,7,6,Enebolig,315,275,40,1984,
https://www.finn.no/realestate/homes/ad.html?finnkode=473046006,"Gransdalen 13F, Oslo",4459840,4350000,78,3,2,Leilighet,98,78,20,1999,
https://www.finn.no/realestate/homes/ad.html?finnkode=473057794,"Kurlandstien 2, Oslo",2888733,2800000,30,1,,Leilighet,32,30,2,1979,79237
https://www.finn.no/realestate/homes/ad.html?finnkode=473058998,"Kleiva 7B, Oslo",8970140,8750000,136,,3,Enebolig,165,136,29,1981,
https://www.finn.no/realestate/homes/ad.html?finnkode=473146869,"Høybråtenveien 1C, Oslo",5213035,4490000,104,6,5,Leilighet,108,104,4,1977,713279
https://www.finn.no/realestate/homes/ad.html?finnkode=473188531,"Ellingsrudveien 1A, Oslo",6756100,6590000,172,4,3,Enebolig,172,172,,1980,
https://www.finn.no/realestate/homes/ad.html?finnkode=473252300,"Edvard Munchs vei 83, Oslo",5900043,5190000,97,3,3,Leilighet,102,97,5,1982,565076
https://www.finn.no/realestate/homes/ad.html?finnkode=473514820,"Nuggerudveien 23C, Oslo",4870100,4750000,121,4,3,Rekkehus,139,121,18,1984,
https://www.finn.no/realestate/homes/ad.html?finnkode=473745625,"Vardeheimveien 24C, Oslo",5433590,5300000,86,4,3,Leilighet,86,86,,2018,
https://www.finn.no/realestate/project/ad.html?finnkode=436640537,"Erling Michelsens vei 19B, Oslo",6311832,5590000,111,,3,Rekkehus,,,,,
https://www.finn.no/realestate/project/ad.html?finnkode=445233552,"Erling Michelsens vei 19B, Oslo",6311832,5590000,111,,3,Rekkehus,,,5,,
https://www.finn.no/realestate/project/ad.html?finnkode=459865616,"Erling Michelsens vei 19B, Oslo",6311832,5590000,111,,3,Rekkehus,,,,,
https://www.finn.no/realestate/projectsingle/ad.html?finnkode=467347490,"Granstangen 23, Oslo",5605020,5590000,50,2,1,Leilighet,62,50,5,,0
https://www.finn.no/realestate/projectsingle/ad.html?finnkode=467348114,"Granstangen 23, Oslo",7009420,6990000,67,3,2,Leilighet,80,67,5,,0
https://www.finn.no/realestate/projectsingle/ad.html?finnkode=469415889,,4859445,1940000,55,3,2,Leilighet,60,55,5,,2910000
https://www.finn.no/realestate/projectsingle/ad.html?finnkode=469746778,"Furuset Village - leil B2010 *mulighet for OBOS Deleie Kjøp denne boligen med 50% OBOS Deleie til kr, Oslo",3409445,1360000,33,2,1,Leilighet,33,33,2,,2040000
https://www.finn.no/realestate/projectsingle/ad.html?finnkode=472926715,"Granstangen 23, Oslo",6498745,6470000,59,3,2,Leilighet,64,59,5,,
https://www.finn.no/realestate/projectsingle/ad.html?finnkode=473156405,"Furuset Village leil 5001 *Mulighet for Deleie. Kjøp denne boligen med 50% OBOS Deleie til kr 3 235, Oslo",6469445,2584000,74,4,3,Leilighet,74,74,5,,3876000
https://www.finn.no/realestate/homes/ad.html?finnkode=414224786,"Skanseveien 8, Oslo",11737600,11450000,284,8,4,Enebolig,310,284,26,1911,
https://www.finn.no/realestate/homes/ad.html?finnkode=440531999,"Furusetveien 5 E, Oslo",9123850,8900000,248,3,2,Enebolig,248,248,7,2014,
https://www.finn.no/realestate/homes/ad.html?finnkode=444644718,"Lindebergåsen 49, Oslo",4670998,4490000,59,3,2,Leilighet,68,59,9,1980,157434
https://www.finn.no/realestate/homes/ad.html?finnkode=446101920,"Granliveien 21N, Oslo",11645100,11350000,182,6,5,Rekkehus,224,182,42,2026,
https://www.finn.no/realestate/homes/ad.html?finnkode=450469082,"Hockeyveien 11, Oslo",4218059,3590000,67,3,2,Leilighet,78,67,11,1957,524116
https://www.finn.no/realestate/homes/ad.html?finnkode=458408425,"Høybråtenveien 78, Oslo",8046250,7850000,186,5,3,Tomannsbolig,203,186,17,1968,
https://www.finn.no/realestate/homes/ad.html?finnkode=459386963,"Linjeveien 51G, Oslo",10763850,10500000,142,7,4,Enebolig,177,142,35,2018,
https://www.finn.no/realestate/homes/ad.html?finnkode=459520946,"Micheletveien 38H, Oslo",3146827,2890000,31,1,,Leilighet,34,31,3,1974,238967
https://www.finn.no/realestate/homes/ad.html?finnkode=460265089,"Linjeveien 51C, Oslo",11943850,11650000,255,7,4,Enebolig,255,255,,1987,
https://www.finn.no/realestate/homes/ad.html?finnkode=462005527,"Hesjeveien 9A, Oslo",6151350,6000000,135,4,4,Rekkehus,147,135,12,1966,
https://www.finn.no/realestate/homes/ad.html?finnkode=463463230,"Lindebergåsen 18B, Oslo",5132887,4500000,100,4,3,Leilighet,103,100,3,1976,623542
https://www.finn.no/realestate/homes/ad.html?finnkode=464399648,"Ole Reistads vei 5C, Oslo",5423696,5150000,96,4,3,Leilighet,99,96,3,1978,255000
https://www.finn.no/realestate/homes/ad.html?finnkode=465301988,"Erling Michelsens vei 21C, Oslo",5888696,5200000,111,4,3,Leilighet,115,111,4,1981,670000
https://www.finn.no/realestate/homes/ad.html?finnkode=466126735,"Hesjeveien 19A, Oslo",9431090,9200000,191,8,6,Enebolig,191,191,,1953,
https://www.finn.no/realestate/projectsingle/ad.html?finnkode=448513656,"Frysjaveien 38 A - Ager borettslag - Leilighet 4063, Oslo",9562238,4530000,88,3,2,Leilighet,93,88,5,,4970000
https://www.finn.no/realestate/projectsingle/ad.html?finnkode=465317910,"Granstangen 23, Oslo",6427900,6390000,59,3,2,Leilighet,64,59,5,,0
